"","Sample","Time","Treatment","Replicate","Acidobacteria","Actinobacteria","Armatimonadetes","BRC1","Bacteroidetes","Candidatus_Saccharibacteria","Chlamydiae","Chloroflexi","Cyanobacteria","Firmicutes","Gemmatimonadetes","Latescibacteria","Nitrospirae","Planctomycetes","Proteobacteria","Spirochaetes","Thaumarchaeota","Unassigned","Verrucomicrobia","candidate_division_WPS-1","candidate_division_WPS-2"
"38","2020.6_Control_2","2020.6","Control","2",0.183557361675523,0.223944982807126,0.00087527352297593,0,0.0410753360425132,0.00125039074710847,0,0.00206314473272898,6.25195373554236e-05,0.00693966864645202,0.00400125039074711,0.00206314473272898,0.00593935604876524,0.0300718974679587,0.245576742732103,6.25195373554236e-05,0.0253204126289465,0.0848390121913095,0.13798061894342,0.00437636761487965,0
"39","2020.6_Control_3","2020.6","Control","3",0.154110659581118,0.229696780243825,0.000562675836198812,0.000125039074710847,0.0346358236949046,0.00100031259768678,0,0.00137542982181932,0,0.00994060643951235,0.00543919974992185,0.00231322288215067,0.0066270709596749,0.0210690840887777,0.235698655829946,0,0.034385745545483,0.0850265708033758,0.17267896217568,0.00525164113785558,6.25195373554236e-05
"40","2020.6_Control_4","2020.6","Control","4",0.129040325101594,0.267646139418567,0.000812753985620506,0,0.0420131291028445,0.00143794935917474,6.25195373554236e-05,0.00118787120975305,0,0.0066270709596749,0.00675211003438575,0.000937793060331354,0.00568927789934355,0.0188809002813379,0.318912160050014,0.000125039074710847,0.0120662707095967,0.0755236011253515,0.109096592685214,0.00312597686777118,6.25195373554236e-05
"41","2020.6_Control_5","2020.6","Control","5",0.169928102532041,0.248702719599874,0.000687714910909659,0,0.0429509221631759,0.0013129102844639,0,0.00281337918099406,0,0.00587683651140982,0.00356361362925914,0.00193810565801813,0.00475148483901219,0.0318224445139106,0.268834010628319,0,0.0275711159737418,0.0780869021569239,0.108596436386371,0.00256330103157237,0
"42","2020.6_Control_6","2020.6","Control","6",0.213691778680837,0.180243826195685,0.000750234448265083,0,0.0271334792122538,0.000625195373554236,0,0.00168802750859644,6.25195373554236e-05,0.00787746170678337,0.00368865270396999,0.00225070334479525,0.00456392622694592,0.0288215067208502,0.186058143169739,0,0.0156924038762113,0.0647077211628632,0.256892778993435,0.00493904345107846,0.000312597686777118
"43","2020.6_Warming_1","2020.6","Warming","1",0.188558924663957,0.200875273522975,0.000437636761487965,0,0.0395748671459831,0.00162550797124101,0,0.00331353547983745,0,0.00431384807752423,0.00312597686777118,0.0034385745545483,0.00587683651140982,0.0293841825570491,0.222819631134728,0,0.0725226633322913,0.0798999687402311,0.140731478587058,0.00350109409190372,0
"44","2020.6_Warming_2","2020.6","Warming","2",0.154673335417317,0.232885276648952,0.000500156298843389,0,0.0378243201000312,0.0010628321350422,6.25195373554236e-05,0.00175054704595186,0.000125039074710847,0.00400125039074711,0.00550171928727728,0.00312597686777118,0.00562675836198812,0.0250078149421694,0.239262269459205,6.25195373554236e-05,0.0401375429821819,0.103469834323226,0.142044388871522,0.00281337918099406,6.25195373554236e-05
"45","2020.6_Warming_3","2020.6","Warming","3",0.178305720537667,0.236011253516723,0.000375117224132541,0,0.0303844951547358,0.00168802750859644,6.25195373554236e-05,0.00243826195686152,0,0.00475148483901219,0.00612691466083151,0.0023757424195061,0.00368865270396999,0.0218193185370428,0.205751797436698,6.25195373554236e-05,0.0210690840887777,0.0791497342919659,0.200437636761487,0.00543919974992185,6.25195373554236e-05
"46","2020.6_Warming_4","2020.6","Warming","4",0.156736480150046,0.233760550171928,0.000562675836198812,6.25195373554236e-05,0.0295717411691153,0.00112535167239762,0,0.0013129102844639,6.25195373554236e-05,0.00475148483901219,0.00493904345107846,0.00325101594248203,0.00500156298843389,0.0268208815254767,0.213191622381993,0,0.0258205689277899,0.07827446076899,0.210065645514223,0.00468896530165677,0
"47","2020.6_Warming_5","2020.6","Warming","5",0.142794623319787,0.233823069709283,0.000750234448265083,6.25195373554236e-05,0.0310096905282901,0.000500156298843389,0.000125039074710847,0.00200062519537355,0,0.0034385745545483,0.00500156298843389,0.0023757424195061,0.00375117224132541,0.0223194748358862,0.229071584870271,0,0.0440762738355736,0.116911534854642,0.158236949046577,0.00375117224132542,0
