OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_6547	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Zavarzinella	Zavarzinella_formosa
ASV_6546	Bacteria	Acidobacteria	Acidobacteria_Gp16	Unassigned	Unassigned	Gp16	Unassigned
ASV_6545	Bacteria	Latescibacteria	Unassigned	Unassigned	Unassigned	Latescibacteria_genera_incertae_sedis	Unassigned
ASV_6556	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_6560	Bacteria	Acidobacteria	Acidobacteria_Gp3	Unassigned	Unassigned	Gp3	Unassigned
ASV_6550	Bacteria	Proteobacteria	Betaproteobacteria	Unassigned	Unassigned	Unassigned	Unassigned
ASV_6551	Bacteria	Armatimonadetes	Chthonomonadetes	Chthonomonadales	Chthonomonadaceae	Chthonomonas/Armatimonadetes_gp3	Unassigned
ASV_6548	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Unassigned	Unassigned
ASV_6555	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Unassigned	Unassigned
ASV_6552	Bacteria	Verrucomicrobia	Subdivision3	Unassigned	Unassigned	Subdivision3_genera_incertae_sedis	Unassigned
ASV_6563	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_6559	Bacteria	Actinobacteria	Actinobacteria	Unassigned	Unassigned	Unassigned	Unassigned
ASV_6558	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Aquisphaera	Aquisphaera_giovannonii
ASV_6562	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_6570	Bacteria	Bacteroidetes	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_6561	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Unassigned	Unassigned	Unassigned
ASV_6566	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Unassigned	Unassigned	Unassigned
ASV_6568	Bacteria	Acidobacteria	Acidobacteria_Gp6	Unassigned	Unassigned	Gp6	Unassigned
ASV_6565	Bacteria	Acidobacteria	Acidobacteria_Gp4	Unassigned	Unassigned	Unassigned	Unassigned
ASV_6567	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Unassigned	Unassigned
ASV_6579	Bacteria	Acidobacteria	Acidobacteria_Gp6	Unassigned	Unassigned	Gp6	Unassigned
ASV_6564	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Haliangiaceae	Haliangium	Unassigned
ASV_6572	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Unassigned
ASV_6578	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_6573	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Unassigned	Unassigned
ASV_6582	Bacteria	Acidobacteria	Acidobacteria_Gp17	Unassigned	Unassigned	Gp17	Unassigned
ASV_6575	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Unassigned	Unassigned	Unassigned
ASV_6569	Bacteria	Proteobacteria	Betaproteobacteria	Unassigned	Unassigned	Unassigned	Unassigned
ASV_6571	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_6580	Bacteria	Acidobacteria	Acidobacteria_Gp7	Unassigned	Unassigned	Gp7	Unassigned
ASV_6574	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Unassigned	Unassigned
ASV_6576	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Unassigned	Unassigned	Unassigned
ASV_6577	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Unassigned	Unassigned
ASV_6581	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	Gemmatimonas_aurantiaca
ASV_6588	Bacteria	Candidatus_Saccharibacteria	Unassigned	Unassigned	Unassigned	Saccharibacteria_genera_incertae_sedis	Unassigned
ASV_6585	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Unassigned
ASV_6584	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Labrys	Labrys_methylaminiphilus
ASV_6590	Bacteria	Proteobacteria	Deltaproteobacteria	Unassigned	Unassigned	Unassigned	Unassigned
ASV_6583	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Unassigned	Unassigned
ASV_6592	Bacteria	Acidobacteria	Acidobacteria_Gp6	Unassigned	Unassigned	Gp6	Unassigned
ASV_6587	Bacteria	Acidobacteria	Acidobacteria_Gp6	Unassigned	Unassigned	Gp6	Unassigned
ASV_6589	Bacteria	Acidobacteria	Acidobacteria_Gp6	Unassigned	Unassigned	Gp6	Unassigned
ASV_6595	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_6586	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Unassigned	Unassigned
ASV_6591	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Unassigned	Unassigned
ASV_6594	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Unassigned	Unassigned	Unassigned
ASV_6605	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Unassigned	Unassigned
ASV_6602	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_6596	Bacteria	Verrucomicrobia	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_6598	Bacteria	candidate_division_WPS-1	Unassigned	Unassigned	Unassigned	WPS-1_genera_incertae_sedis	Unassigned
ASV_6610	Bacteria	Verrucomicrobia	Subdivision3	Unassigned	Unassigned	Subdivision3_genera_incertae_sedis	Unassigned
ASV_6600	Bacteria	Proteobacteria	Gammaproteobacteria	Unassigned	Unassigned	Unassigned	Unassigned
ASV_6607	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Unassigned	Unassigned
ASV_6603	Bacteria	Acidobacteria	Acidobacteria_Gp17	Unassigned	Unassigned	Gp17	Unassigned
ASV_6601	Bacteria	Acidobacteria	Acidobacteria_Gp6	Unassigned	Unassigned	Gp6	Unassigned
ASV_6599	Bacteria	Actinobacteria	Actinobacteria	Solirubrobacterales	Conexibacteraceae	Conexibacter	Conexibacter_woesei
ASV_6612	Bacteria	Bacteroidetes	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_6604	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_6606	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Unassigned
ASV_6614	Bacteria	Actinobacteria	Actinobacteria	Unassigned	Unassigned	Unassigned	Unassigned
ASV_6593	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Unassigned
ASV_6597	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Unassigned	Unassigned	Unassigned
ASV_6624	Bacteria	Verrucomicrobia	Subdivision3	Unassigned	Unassigned	Subdivision3_genera_incertae_sedis	Unassigned
ASV_6616	Bacteria	candidate_division_WPS-1	Unassigned	Unassigned	Unassigned	WPS-1_genera_incertae_sedis	Unassigned
ASV_6620	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Blastopirellula	Unassigned
ASV_6611	Bacteria	Proteobacteria	Deltaproteobacteria	Unassigned	Unassigned	Unassigned	Unassigned
ASV_6608	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_6617	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_6609	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Unassigned	Unassigned	Unassigned
ASV_6622	Bacteria	candidate_division_WPS-1	Unassigned	Unassigned	Unassigned	WPS-1_genera_incertae_sedis	Unassigned
ASV_6613	Bacteria	Actinobacteria	Actinobacteria	Solirubrobacterales	Unassigned	Unassigned	Unassigned
ASV_6621	Bacteria	Verrucomicrobia	Subdivision3	Unassigned	Unassigned	Subdivision3_genera_incertae_sedis	Unassigned
ASV_6623	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_6619	Bacteria	Verrucomicrobia	Spartobacteria	Unassigned	Unassigned	Spartobacteria_genera_incertae_sedis	Unassigned
ASV_6627	Bacteria	Verrucomicrobia	Subdivision3	Unassigned	Unassigned	Subdivision3_genera_incertae_sedis	Unassigned
ASV_6615	Bacteria	Actinobacteria	Actinobacteria	Unassigned	Unassigned	Unassigned	Unassigned
ASV_6618	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Actinoplanes	Actinoplanes_auranticolor
